Land,Global_emissions,Status,renewables,LifeEx,Wellbeing,InequalityOut,EcologicalFoot,Signed,Signed1
Mauritania,0.02,1,,,,,,Feb,11
Mauritius,0.01,1,,74,5.5,17,3.5,Apr,1
Mexico,1.7,1,14.5,76.4,7.3,19,2.9,Sep,6
Micronesia (Federated States of),0,1,,,,,,Sep,6
Monaco,0,1,,,,,,Oct,7
Mongolia,0.05,1,,68.6,4.9,22,6.1,Sep,6
Morocco,0.16,1,8.9,,,,,Sep,6
Namibia,0.01,1,,64,4.7,26,2.5,Sep,6
Nauru,0,1,,,,,,Apr,1
Nepal,0.07,1,,68.8,4.2,27,1,Oct,7
New Zealand,0.22,1,71.5,81.4,7.2,8,5.6,Oct,7
Niger,0.04,1,,60,3.8,40,1.6,Sep,6
Niue,0.01,1,,,,,,Oct,7
Norway,0.14,1,98,81.3,7.7,7,5,Jun,3
Pakistan,0.43,1,27.5,65.7,5.1,40,0.8,Nov,8
Palau,0,1,,,,,,Apr,1
Palestine,,1,,72.6,4.6,24,1.2,,
Panama,0.03,1,,77.2,6.9,19,2.8,Sep,6
Papua New Guinea,0.01,1,38.3,,,,,Sep,6
Paraguay,0.06,1,,72.6,5.8,22,4.2,Oct,7
Peru,0.22,1,55.05,74.1,5.8,21,2.3,Jul,4
Philippines,0.34,1,28.45,67.9,5,26,1.1,Mar,12
Poland,1.06,1,10.65,76.9,5.9,11,4.4,Oct,7
Portugal,0.18,1,43.75,80.3,5,16,3.9,Oct,7
Republic of Korea,1.85,1,,61,3.9,40,1.3,Nov,8
Rwanda,0.02,1,,63.1,3.3,37,0.9,Oct,7
Saint Kitts and Nevis,0,1,,,,,,Apr,1
Saint Lucia,0,1,,,,,,Apr,1
Saint Vincent and the Grenadines,0,1,,,,,,Jun,3
Samoa,0,1,,,,,,Apr,1
Sao Tome and Principe,0,1,,,,,,Nov,8
Saudi Arabia,0.8,1,0,,,,,Nov,8
Senegal,0.05,1,10.4,65.4,3.7,33,1.2,Sep,6
Seychelles,0,1,,,,,,Apr,1
Sierra Leone,0.98,1,,49.8,4.5,50,1.2,Nov,8
Singapore,0.13,1,,,,,,Sep,6
Slovakia,0.12,1,20.15,75.9,5.9,13,4.1,Oct,7
Slovenia,0.05,1,28.7,80,6.1,10,5.8,Dec,9
Solomon Islands,0,1,,,,,,Sep,6
Somalia,,1,,,,,,Apr,1
South Africa,1.46,1,2.55,56.3,5.1,33,3.3,Nov,8
Spain,0.87,1,30.3,82.2,6.3,10,3.7,Jan,10
Sri Lanka,0.05,1,28.3,74.6,4.2,17,1.3,Sep,6
Swaziland,0.05,1,,48.9,4.9,41,2,Sep,6
Sweden,0.15,1,58.4,81.8,7.6,6,7.3,Oct,7
Tajikistan,0.02,1,,69,4.5,26,0.9,Mar,12
Thailand,0.64,1,7.25,74.1,6.3,15,2.7,Sep,6
Tonga,0.03,1,,,,,,,
Tunisia,0.11,1,1.6,74.6,4.5,22,2.3,Feb,11
Turkmenistan,0.2,1,,65.3,5.5,31,5.5,Oct,7
Tuvalu,0,1,,,,,,Apr,1
Uganda,0.07,1,78.6,57.1,4.3,41,1.2,Sep,6
Ukraine,1.04,1,7.95,70.3,5,17,2.8,Sep,6
United Arab Emirates,0.53,1,,,,,,Sep,6
United Kingdom of Great Britain and Northern Ireland*,1.55,1,12.2,80.4,6.9,9,4.9,Nov,8
United States,17.89,1,12.5,78.8,7,13,8.2,Sep,6
Uruguay,0.05,1,60.05,76.9,6.4,18,2.9,Oct,7
Vanuatu,0,1,,71.3,6.5,22,1.9,Sep,6
Vietnam,0.72,1,,75.5,5.5,19,1.7,Nov,8
Zambia,0.04,1,,58.4,5,41,1,Dec,9
Angola,0.17,2,,,,,,,
Bhutan,0,2,,68.7,5.6,27,2.3,,
Burundi,0.07,2,,55.8,3.4,48,0.8,,
Cabo Verde,0,2,,,,,,,
Colombia,0.41,2,80.6,73.7,6.4,24,1.9,,
Croatia,0.07,2,48.4,77,6,12,3.9,,
Czechia,0.34,2,10.15,78.2,6.3,9,5.2,,
Democratic Republic of the Congo,0.06,2,,,,,,,
Dominican Republic,0.07,2,,73.1,4.8,30,1.5,,
Ecuador,0.67,2,,75.4,6,22,2.2,,
Egypt,0.52,2,9.15,70.7,4.2,23,2.2,,
Equatorial Guinea,,2,,57.7,3.7,42,1.4,,
Eritrea,0.01,2,,,,,,,
Georgia,0.03,2,,74.6,4.3,20,1.6,,
Guinea-Bissau,0.02,2,,,,,,,
Haiti,0.02,2,,62.1,4.4,37,0.6,,
Iran (Islamic Republic of),1.3,2,4.95,74.8,4.6,23,2.8,,
Iraq,0.2,2,8.6,69,4.7,27,1.9,,
Kuwait,0.09,2,,,,,,,
Kyrgyzstan,0.03,2,,69.7,5.2,18,1.9,,
Lebanon,0.07,2,,78.8,4.6,19,3.8,,
Liberia,0.02,2,,60.2,4.4,38,1.2,,
Libya,,2,0,,,,,,
Liechtenstein,0,2,,,,,,,
Malawi,0.07,2,,60.1,4.3,45,0.8,,
Montenegro,0.01,2,,75.8,5.2,16,3.8,,
Mozambique,0.02,2,,54.3,5,43,0.9,,
Myanmar,0.1,2,,65.5,4.4,32,1.4,,
Netherlands,0.53,2,12.25,81.2,7.5,4,5.3,,
Nigeria,0.57,2,16.35,52.1,5.5,44,1.2,,
Oman,0.06,2,,76.3,6.9,13,7.5,,
Qatar,0.17,2,,,,,,,
Republic of Moldova,0.04,2,,,,,,,
Romania,0.3,2,25.05,74.3,5.2,19,2.7,,
Russia,7.53,2,15.6,69.5,5.6,16,5.7,,
San Marino,0,2,,,,,,,
Serbia,0.18,2,26.65,74.5,5.2,19,2.7,,
South Sudan,1.55,2,,,,,,,
Sudan,0.18,2,46.7,,,,,,
Suriname,0.01,2,,70.8,6.3,19,4.3,,
Switzerland,0.14,2,,82.6,7.8,6,5.8,,
The former Yugoslav Republic of Macedonia,0.03,2,,,,,,,
Timor-Leste,0,2,,,,,,,
Togo,0.02,2,,58.6,2.9,43,1.1,,
Trinidad and Tobago,0.04,2,,70.1,6.4,21,7.9,,
Turkey,1.24,2,27.2,74.7,5.3,19,3.3,,
United Republic of Tanzania,0.11,2,,63.5,4,33,1.3,,
Uzbekistan,0.54,2,21.05,68.2,6,30,2.3,,
Venezuela (Bolivarian Republic of),0.52,2,63.6,73.9,7.1,19,3.6,,
Yemen,0.07,2,,63.3,4.1,39,1,,
Zimbabwe,0.18,2,,53.7,5,37,1.4,,
Nicaragua,0.03,3,40.2,74.3,5.4,25,1.4,,
Syrian Arab Republic,0.21,3,,70.4,3.2,30,1.5,,
