Land,Global_emissions,Renewables,Signed1,Month
Mauritius,0.01,,1,Apr
Mexico,1.7,14.5,6,Sep
Micronesia (Federated States of),0.00001,,6,Sep
Monaco,0.00001,,7,Oct
Mongolia,0.05,,6,Sep
Morocco,0.16,8.9,6,Sep
Namibia,0.01,,6,Sep
Nauru,0.00001,,1,Apr
Nepal,0.07,,7,Oct
New Zealand,0.22,71.5,7,Oct
Niger,0.04,,6,Sep
Niue,0.01,,7,Oct
Norway,0.14,98,3,Jun
Pakistan,0.43,27.5,8,Nov
Palau,0.00001,,1,Apr
Panama,0.03,,6,Sep
Papua New Guinea,0.01,38.3,6,Sep
Paraguay,0.06,,7,Oct
Peru,0.22,55.05,4,Jul
Philippines,0.34,28.45,12,Mar
Poland,1.06,10.65,7,Oct
Portugal,0.18,43.75,7,Oct
Republic of Korea,1.85,,8,Nov
Rwanda,0.02,,7,Oct
Saint Kitts and Nevis,0.00001,,1,Apr
Saint Lucia,0.00001,,1,Apr
Saint Vincent and the Grenadines,0.00001,,3,Jun
Samoa,0.00001,,1,Apr
Sao Tome and Principe,0.00001,,8,Nov
Saudi Arabia,0.8,0,8,Nov
Senegal,0.05,10.4,6,Sep
Seychelles,0.00001,,1,Apr
Sierra Leone,0.98,,8,Nov
Singapore,0.13,,6,Sep
Slovakia,0.12,20.15,7,Oct
Slovenia,0.05,28.7,9,Dec
Solomon Islands,0.00001,,6,Sep
South Africa,1.46,2.55,8,Nov
Spain,0.87,30.3,10,Jan
Sri Lanka,0.05,28.3,6,Sep
Swaziland,0.05,,6,Sep
Sweden,0.15,97.4,7,Oct
Tajikistan,0.02,,12,Mar
Thailand,0.64,7.25,6,Sep
Tonga,0.03,,,
Tunisia,0.11,1.6,11,Feb
Turkmenistan,0.2,,7,Oct
Tuvalu,0.00001,,1,Apr
Uganda,0.07,78.6,6,Sep
Ukraine,1.04,7.95,6,Sep
United Arab Emirates,0.53,,6,Sep
United Kingdom of Great Britain and Northern Ireland*,1.55,12.2,8,Nov
United States,17.89,12.5,6,Sep
Uruguay,0.05,60.05,7,Oct
Vanuatu,0.00001,,6,Sep
Vietnam,0.72,,8,Nov
Zambia,0.04,,9,Dec
Angola,0.17,,,
Bhutan,0.00001,,,
Burundi,0.07,,,
Cabo Verde,0.00001,,,
Colombia,0.41,80.6,,
Croatia,0.07,48.4,,
Czechia,0.34,10.15,,
Democratic Republic of the Congo,0.06,,,
Dominican Republic,0.07,,,
Ecuador,0.67,,,
Egypt,0.52,9.15,,
Eritrea,0.01,,,
Georgia,0.03,,,
Guinea-Bissau,0.02,,,
Haiti,0.02,,,
Iran (Islamic Republic of),1.3,4.95,,
Iraq,0.2,8.6,,
Kuwait,0.09,,,
Kyrgyzstan,0.03,,,
Lebanon,0.07,,,
Liberia,0.02,,,
Liechtenstein,0.00001,,,
Malawi,0.07,,,
Montenegro,0.01,,,
Mozambique,0.02,,,
Myanmar,0.1,,,
Netherlands,0.53,12.25,,
Nigeria,0.57,16.35,,
Oman,0.06,,,
Qatar,0.17,,,
Republic of Moldova,0.04,,,
Romania,0.3,25.05,,
Russia,7.53,15.6,,
San Marino,0.00001,,,
Serbia,0.18,26.65,,
South Sudan,1.55,,,
Sudan,0.18,46.7,,
Suriname,0.01,,,
Switzerland,0.14,,,
The former Yugoslav Republic of Macedonia,0.03,,,
Timor-Leste,0.00001,,,
Togo,0.02,,,
Trinidad and Tobago,0.04,,,
Turkey,1.24,27.2,,
United Republic of Tanzania,0.11,,,
Uzbekistan,0.54,21.05,,
Venezuela (Bolivarian Republic of),0.52,63.6,,
Yemen,0.07,,,
Zimbabwe,0.18,,,
Nicaragua,0.03,40.2,,
Syrian Arab Republic,0.21,,,
