Land,Global_emissions,Status,wind_solar,re,renewables,
Kenya,0.06,1,,,73.15,
Kiribati,0,1,,,,
Lao People_s Democratic Republic,0.02,1,,,,
Latvia,0.03,1,,,68.2,
Lesotho,0.01,1,,,,
Lithuania,0.05,1,,,32.2,
Luxembourg,0.03,1,,,36,
Madagascar,0.08,1,,,49.4,
Malaysia,0.52,1,0.2,8.4,,
Maldives,0,1,,,,
Mali,0.03,1,,,57,
Malta,0.01,1,,,0.8,
Marshall Islands,0,1,,,,
Mauritania,0.02,1,,,,
Mauritius,0.01,1,,,,
Mexico,1.7,1,4.5,14.9,14.5,
Micronesia (Federated States of),0,1,,,,
Monaco,0,1,,,,
Mongolia,0.05,1,,,,
Morocco,0.16,1,,,8.9,
Namibia,0.01,1,,,,
Nauru,0,1,,,,
Nepal,0.07,1,,,,
New Zealand,0.22,1,23.2,80,71.5,
Niger,0.04,1,,,,
Niue,0.01,1,,,,
Norway,0.14,1,1.7,97.9,98,
Pakistan,0.43,1,,,27.5,
Palau,0,1,,,,
Palestine,,1,,,,
Panama,0.03,1,,,,
Papua New Guinea,0.01,1,,,38.3,
Paraguay,0.06,1,,,,
Peru,0.22,1,,,55.05,
Philippines,0.34,1,,,28.45,
Poland,1.06,1,6.6,14.3,10.65,
Portugal,0.18,1,24.2,49.3,43.75,
Republic of Korea,1.85,1,,,,
Rwanda,0.02,1,,,,
Saint Kitts and Nevis,0,1,,,,
Saint Lucia,0,1,,,,
Saint Vincent and the Grenadines,0,1,,,,
Samoa,0,1,,,,
Sao Tome and Principe,0,1,,,,
Saudi Arabia,0.8,1,0,0,0,
Senegal,0.05,1,,,10.4,
Seychelles,0,1,,,,
Sierra Leone,0.98,1,,,,
Singapore,0.13,1,,,,
Slovakia,0.12,1,,,20.15,
Slovenia,0.05,1,,,28.7,
Solomon Islands,0,1,,,,
Somalia,,1,,,,
South Africa,1.46,1,1.6,3.3,2.55,
Spain,0.87,1,22.3,35.5,30.3,
Sri Lanka,0.05,1,,,28.3,
Swaziland,0.05,1,,,,
Sweden,0.15,1,10.4,64.3,58.4,
Tajikistan,0.02,1,,,,
Thailand,0.64,1,1.4,8.2,7.25,
Tonga,0.03,1,,,,
Tunisia,0.11,1,,,1.6,
Turkmenistan,0.2,1,,,,
Tuvalu,0,1,,,,
Uganda,0.07,1,,,78.6,
Ukraine,1.04,1,0..9,5,7.95,
United Arab Emirates,0.53,1,0,0,,
Kingdom,1.55,1,14,26.3,12.2,
United States,17.89,1,5.8,13.8,12.5,
Uruguay,0.05,1,,,60.05,
Vanuatu,0,1,,,,
Viet Nam,0.72,1,,,,
Zambia,0.04,1,,,,
Angola,0.17,2,,,,
Bhutan,0,2,,,,
Burundi,0.07,2,,,,
Cabo Verde,0,2,,,,
Colombia,0.41,2,0.1,67.9,80.6,
Croatia,0.07,2,,,48.4,
Czechia,0.34,2,3.4,13.5,10.15,
Democratic Republic of the Congo,0.06,2,,,,
Dominican Republic,0.07,2,,,,
Ecuador,0.67,2,,,,
Egypt,0.52,2,1.2,8.9,9.15,
Equatorial Guinea,,2,,,,
Eritrea,0.01,2,,,,
Georgia,0.03,2,,,,
Guinea-Bissau,0.02,2,,,,
Haiti,0.02,2,,,,
Iran (Islamic Republic of),1.3,2,0.2,6.5,4.95,
Iraq,0.2,2,,,8.6,
Kuwait,0.09,2,0,0,,
Kyrgyzstan,0.03,2,,,,
Lebanon,0.07,2,,,,
Liberia,0.02,2,,,,
Libya,,2,,,0,
Liechtenstein,0,2,,,,
Malawi,0.07,2,,,,
Montenegro,0.01,2,,,,
Mozambique,0.02,2,,,,
Myanmar,0.1,2,,,,
Netherlands,0.53,2,8,12.1,12.25,
Nigeria,0.57,2,0,17.2,16.35,
Oman,0.06,2,,,,
Qatar,0.17,2,,,,
Republic of Moldova,0.04,2,,,,
Romania,0.3,2,17.2,42.6,25.05,
Russia,7.53,2,0,16.3,15.6,
San Marino,0,2,,,,
Serbia,0.18,2,,,26.65,
South Sudan,1.55,2,,,,
Sudan,0.18,2,,,46.7,
Suriname,0.01,2,,,,
Switzerland,0.14,2,,,,
The former Yugoslav Republic of Macedonia,0.03,2,,,,
Timor-Leste,0,2,,,,
Togo,0.02,2,,,,
Trinidad and Tobago,0.04,2,,,,
Turkey,1.24,2,5.8,31.7,27.2,
Tanzania,0.11,2,,,,
Uzbekistan,0.54,2,0,20.5,21.05,
Venezuela (Bolivarian Republic of),0.52,2,0,68.9,63.6,
Yemen,0.07,2,,,,
Zimbabwe,0.18,2,,,,
Nicaragua,0.03,3,,,40.2,
Syrian Arab Republic,0.21,3,,,,
